from,to
journal::eneuro,volume::eneuro::2021
journal::journal of the experimental analysis of behavior,volume::journal of the experimental analysis of behavior::2019
journal::strategic journal of business &amp; change management,volume::strategic journal of business &amp; change management::2018
journal::biosensors & bioelectronics,volume::biosensors & bioelectronics::2021
journal::criminal justice science &amp; governance,volume::criminal justice science &amp; governance::2024
"journal::ieee/acm international symposium on cluster, cloud and internet computing","volume::ieee/acm international symposium on cluster, cloud and internet computing::2017"
journal::berhan international research journal of science and humanities,volume::berhan international research journal of science and humanities::2020
journal::international journal of multidisciplinary research and analysis,volume::international journal of multidisciplinary research and analysis::2025
journal::cell reports medicine,volume::cell reports medicine::2022
journal::konstanta : jurnal matematika dan ilmu pengetahuan alam,volume::konstanta : jurnal matematika dan ilmu pengetahuan alam::2024
journal::malaria journal,volume::malaria journal::2009
journal::e-commerce letters,volume::e-commerce letters::2025
journal::ancient land,volume::ancient land::2025
journal::international conference on machine learning and applications,volume::international conference on machine learning and applications::2022
journal::international journal of service science management engineering and technology,volume::international journal of service science management engineering and technology::2016
journal::int. j. distributed sens. networks,volume::int. j. distributed sens. networks::2009
journal::cluster computing,volume::cluster computing::2023
journal::iceeg,volume::iceeg::2023
journal::east african medical journal,volume::east african medical journal::2014
journal::korean association of public safety and criminal justice,volume::korean association of public safety and criminal justice::2023
journal::sociological research online,volume::sociological research online::2023
journal::komatika: jurnal pengabdian kepada masyarakat,volume::komatika: jurnal pengabdian kepada masyarakat::2024
journal::ultramicroscopy,volume::ultramicroscopy::2019
journal::current research in food science,volume::current research in food science::2022
journal::alsys,volume::alsys::2024
journal::kurdish studies,volume::kurdish studies::2022
journal::2017 ieee international conference on big data (big data),volume::2017 ieee international conference on big data (big data)::2017
journal::ta'allum: jurnal pendidikan islam,volume::ta'allum: jurnal pendidikan islam::2023
journal::clinical rheumatology,volume::clinical rheumatology::2014
journal::high power laser science and engineering,volume::high power laser science and engineering::2022
journal::journal of marketing analytics,volume::journal of marketing analytics::2024
journal::ieee intelligent systems,volume::ieee intelligent systems::2017
journal::international conferences on biomedical and bioinformatics engineering,volume::international conferences on biomedical and bioinformatics engineering::2022
journal::ara: revista de investigación en turismo,volume::ara: revista de investigación en turismo::2024
journal::economie: jurnal ilmu ekonomi,volume::economie: jurnal ilmu ekonomi::2020
"journal::2016 ieee 2nd international conference on big data security on cloud (bigdatasecurity), ieee international conference on high performance and smart computing (hpsc), and ieee international conference on intelligent data and security (ids)","volume::2016 ieee 2nd international conference on big data security on cloud (bigdatasecurity), ieee international conference on high performance and smart computing (hpsc), and ieee international conference on intelligent data and security (ids)::2016"
journal::j. comput. methods sci. eng.,volume::j. comput. methods sci. eng.::2023
journal::international review of economics &amp; finance,volume::international review of economics &amp; finance::2024
journal::socio-economic and humanitarian magazine,volume::socio-economic and humanitarian magazine::2024
"journal::international conference on communication, computing & security","volume::international conference on communication, computing & security::2023"
journal::international journal of service science management engineering and technology,volume::international journal of service science management engineering and technology::2024
journal::j. parallel distributed comput.,volume::j. parallel distributed comput.::2022
journal::journal of computing sciences in colleges (jcsc; formerly: journal of computing in small colleges),volume::journal of computing sciences in colleges (jcsc; formerly: journal of computing in small colleges)::2016
journal::operational research,volume::operational research::2019
journal::conference on computer and communications security,volume::conference on computer and communications security::2015
journal::vision: the journal of business perspective,volume::vision: the journal of business perspective::2021
journal::journal of visualized experiments,volume::journal of visualized experiments::2014
journal::multimedia tools and applications,volume::multimedia tools and applications::2021
journal::international conference on wireless communications and mobile computing,volume::international conference on wireless communications and mobile computing::2021
journal::medicine,volume::medicine::2021
journal::transactions on computer science and intelligent systems research,volume::transactions on computer science and intelligent systems research::2025
journal::computational economics,volume::computational economics::2023
journal::brain science,volume::brain science::2023
journal::journal of decision systems,volume::journal of decision systems::2017
journal::materia socio-medica,volume::materia socio-medica::2021
journal::journal of applied economic sciences,volume::journal of applied economic sciences::2026
journal::journal of economics and public finance,volume::journal of economics and public finance::2024
"journal::international convention on information and communication technology, electronics and microelectronics","volume::international convention on information and communication technology, electronics and microelectronics::2016"
journal::interspeech,volume::interspeech::2020
journal::panhellenic conference on informatics,volume::panhellenic conference on informatics::2018
journal::research in adaptive and convergent systems,volume::research in adaptive and convergent systems::2023
journal::international conference on smart computing,volume::international conference on smart computing::2018
journal::international journal of information technology and computer science applications,volume::international journal of information technology and computer science applications::2024
journal::international journal of research publication and reviews,volume::international journal of research publication and reviews::2024
journal::police quarterly,volume::police quarterly::2023
journal::acta paediatrica,volume::acta paediatrica::2007
journal::journal of global information management,volume::journal of global information management::2018
journal::bmc health services research,volume::bmc health services research::2018
journal::methodsx,volume::methodsx::2024
journal::scientometrics,volume::scientometrics::2019
journal::expert systems with applications,volume::expert systems with applications::2018
journal::personal and ubiquitous computing,volume::personal and ubiquitous computing::2016
journal::ieee vehicular technology conference,volume::ieee vehicular technology conference::2023
journal::ans. advances in nursing science,volume::ans. advances in nursing science::2015
journal::journal of soft computing and data mining,volume::journal of soft computing and data mining::2023
journal::future internet,volume::future internet::2020
journal::m/c journal,volume::m/c journal::2023
journal::scientometrics,volume::scientometrics::2024
journal::photonics,volume::photonics::2026
journal::international conference on intelligent computing and its emerging applications,volume::international conference on intelligent computing and its emerging applications::2021
journal::ieee international geoscience and remote sensing symposium,volume::ieee international geoscience and remote sensing symposium::2022
journal::current opinion in ophthalmology,volume::current opinion in ophthalmology::2020
journal::neurocomputing,volume::neurocomputing::2022
journal::international journal of advanced computer science and applications,volume::international journal of advanced computer science and applications::2024
journal::construction innovation,volume::construction innovation::2025
journal::microorganisms,volume::microorganisms::2023
journal::international conference on education and e-learning,volume::international conference on education and e-learning::2021
journal::2014 16th international symposium on symbolic and numeric algorithms for scientific computing,volume::2014 16th international symposium on symbolic and numeric algorithms for scientific computing::2014
journal::jurnal greenation sosial dan politik,volume::jurnal greenation sosial dan politik::2025
journal::frontiers in computing and intelligent systems,volume::frontiers in computing and intelligent systems::2025
journal::ieee transactions on knowledge and data engineering,volume::ieee transactions on knowledge and data engineering::2023
journal::ieee global conference on signal and information processing,volume::ieee global conference on signal and information processing::2016
journal::journal of technology transfer,volume::journal of technology transfer::2023
journal::journal of mathematical imaging and vision,volume::journal of mathematical imaging and vision::2013
journal::journal of family medicine and primary care,volume::journal of family medicine and primary care::2023
journal::digital government research,volume::digital government research::2013
journal::erj open research,volume::erj open research::2022
"journal::international conference on electronics, communications, and computers","volume::international conference on electronics, communications, and computers::2016"
journal::cinta de moebio: revista de epistemologia de ciencias sociales,volume::cinta de moebio: revista de epistemologia de ciencias sociales::2023
journal::journal of supercomputing,volume::journal of supercomputing::2019
journal::nature computational science,volume::nature computational science::2022
journal::urban governance,volume::urban governance::2025
journal::environment and planning b urban analytics and city science,volume::environment and planning b urban analytics and city science::2026
journal::acm great lakes symposium on vlsi,volume::acm great lakes symposium on vlsi::2018
journal::revista española de cardiología,volume::revista española de cardiología::2024
journal::pattern recognition,volume::pattern recognition::2020
journal::international conference on intelligent information processing,volume::international conference on intelligent information processing::2023
journal::joint urban remote sensing event,volume::joint urban remote sensing event::2025
journal::health leadership and quality of life,volume::health leadership and quality of life::2023
journal::international conference on information systems and computer aided education,volume::international conference on information systems and computer aided education::2023
journal::journal of community engagement and scholarship,volume::journal of community engagement and scholarship::2024
journal::journal of vision,volume::journal of vision::2024
journal::british journal of sports medicine,volume::british journal of sports medicine::2013
journal::ethiopian journal of health sciences,volume::ethiopian journal of health sciences::2021
journal::management systems in production engineering,volume::management systems in production engineering::2024
journal::baltic journal of economic studies,volume::baltic journal of economic studies::2026
journal::international symposium on communications and information technologies,volume::international symposium on communications and information technologies::2016
journal::geological and mining engineering,volume::geological and mining engineering::2023
journal::annals of agricultural and environmental medicine,volume::annals of agricultural and environmental medicine::2020
journal::acm conference on hypertext & social media,volume::acm conference on hypertext & social media::2014
journal::asis&t annual meeting,volume::asis&t annual meeting::2013
journal::evolutionary studies in imaginative culture,volume::evolutionary studies in imaginative culture::2024
journal::ieee international symposium on high-assurance systems engineering,volume::ieee international symposium on high-assurance systems engineering::2015
journal::education reform and development,volume::education reform and development::2025
journal::communications on applied nonlinear analysis,volume::communications on applied nonlinear analysis::2024
journal::statistical papers,volume::statistical papers::2022
journal::journal of big data,volume::journal of big data::2020
journal::pakistan journal of scientific research,volume::pakistan journal of scientific research::2025
journal::dunakavics,volume::dunakavics::2025
journal::hearing research,volume::hearing research::1996
journal::icaice,volume::icaice::2024
journal::international symposium on information processing in sensor networks,volume::international symposium on information processing in sensor networks::2018
journal::signal processing and communications applications conference,volume::signal processing and communications applications conference::2020
journal::ieee custom integrated circuits conference,volume::ieee custom integrated circuits conference::2018
journal::jco clinical cancer informatics,volume::jco clinical cancer informatics::2018
journal::ieee network,volume::ieee network::2017
journal::national remote sensing bulletin,volume::national remote sensing bulletin::2024
journal::jurnal teknologi informasi dan ilmu komputer,volume::jurnal teknologi informasi dan ilmu komputer::2023
journal::statistics and computing,volume::statistics and computing::2021
journal::plos one,volume::plos one::2020
journal::nature genetics,volume::nature genetics::2017
journal::revista eletrônica multidisciplinar de investigação científica,volume::revista eletrônica multidisciplinar de investigação científica::2025
journal::data management for sensor networks,volume::data management for sensor networks::2010
"journal::journal of hospitality, leisure, sport &amp; tourism education","volume::journal of hospitality, leisure, sport &amp; tourism education::2024"
journal::information systems frontiers,volume::information systems frontiers::2019
journal::secur. commun. networks,volume::secur. commun. networks::2016
journal::brain tumor research and treatment,volume::brain tumor research and treatment::2022
journal::international conference on combinatorial optimization and applications,volume::international conference on combinatorial optimization and applications::2019
journal::applied soft computing,volume::applied soft computing::2017
journal::international conference on web information systems and technologies,volume::international conference on web information systems and technologies::2013
journal::current psychology,volume::current psychology::2022
journal::computer science and application,volume::computer science and application::2023
journal::journal of cardiology,volume::journal of cardiology::2021
journal::journal of child and adolescent psychopharmacology,volume::journal of child and adolescent psychopharmacology::2017
journal::bmc surgery,volume::bmc surgery::2011
journal::frontiers in microbiology,volume::frontiers in microbiology::2017
journal::diabetes,volume::diabetes::2024
journal::physica medica (testo stampato),volume::physica medica (testo stampato)::2019
journal::clinical implant dentistry and related research,volume::clinical implant dentistry and related research::2009
journal::zhonghua nei ke za zhi,volume::zhonghua nei ke za zhi::2016
journal::foot & ankle orthopaedics,volume::foot & ankle orthopaedics::2022
journal::the surgeon,volume::the surgeon::2015
journal::zhonghua yi xue za zhi,volume::zhonghua yi xue za zhi::2022
journal::archives of internal medicine,volume::archives of internal medicine::2006
journal::journal of endourology,volume::journal of endourology::2008
journal::international conference on conceptual structures,volume::international conference on conceptual structures::2012
journal::annals of the rheumatic diseases,volume::annals of the rheumatic diseases::2007
journal::british medical journal,volume::british medical journal::1981
journal::annals of epidemiology,volume::annals of epidemiology::2022
journal::proceedings of ieee virtual reality annual international symposium,volume::proceedings of ieee virtual reality annual international symposium::1993
journal::international conference on computational photography,volume::international conference on computational photography::2019
journal::journal of the indian society of remote sensing,volume::journal of the indian society of remote sensing::2024
journal::digital health,volume::digital health::2024
journal::rsc advances,volume::rsc advances::2021
journal::aids (london),volume::aids (london)::2015
journal::american journal of gastroenterology,volume::american journal of gastroenterology::2023
journal::laryngoscope investigative otolaryngology,volume::laryngoscope investigative otolaryngology::2022
journal::american journal of physiology. regulatory integrative and comparative physiology,volume::american journal of physiology. regulatory integrative and comparative physiology::2000
journal::american journal of physiology. endocrinology and metabolism,volume::american journal of physiology. endocrinology and metabolism::2013
"journal::knee surgery, sports traumatology, arthroscopy","volume::knee surgery, sports traumatology, arthroscopy::2019"
journal::electronic journal of combinatorics,volume::electronic journal of combinatorics::2013
journal::obesity surgery,volume::obesity surgery::2011
journal::heart rhythm,volume::heart rhythm::2021
journal::scientometrics,volume::scientometrics::2017
journal::american journal of clinical nutrition,volume::american journal of clinical nutrition::1999
journal::heliyon,volume::heliyon::2023
journal::frontiers in sports and active living,volume::frontiers in sports and active living::2024
journal::brazilian dental journal,volume::brazilian dental journal::2012
journal::the international journal of tuberculosis and lung disease,volume::the international journal of tuberculosis and lung disease::2023
journal::women and birth,volume::women and birth::2017
journal::virchows archiv,volume::virchows archiv::2017
journal::journal of hospital infection,volume::journal of hospital infection::1993
journal::annals of biomedical engineering,volume::annals of biomedical engineering::2026
journal::journal of clinical endocrinology and metabolism,volume::journal of clinical endocrinology and metabolism::1999
journal::siggraph emerging technologies,volume::siggraph emerging technologies::2020
journal::american journal of epidemiology,volume::american journal of epidemiology::1985
journal::moscow university soil science bulletin,volume::moscow university soil science bulletin::2024
journal::british medical journal,volume::british medical journal::1997
journal::annals of agricultural and environmental medicine,volume::annals of agricultural and environmental medicine::2014
journal::journal of pain and symptom management,volume::journal of pain and symptom management::2008
journal::journal of chemical physics,volume::journal of chemical physics::2013
journal::the journal of almaty technological university,volume::the journal of almaty technological university::2023
journal::environment international,volume::environment international::2013
journal::spine,volume::spine::2016
journal::journal of maternal-fetal & neonatal medicine,volume::journal of maternal-fetal & neonatal medicine::2009
journal::revista árvore,volume::revista árvore::2023
journal::international journal of gynecological cancer,volume::international journal of gynecological cancer::2019
journal::journal of bacteriology,volume::journal of bacteriology::1952
journal::europace,volume::europace::2005
journal::space weather,volume::space weather::2026
journal::nursing management,volume::nursing management::2003
journal::the web conference,volume::the web conference::2003
journal::journal of oncology pharmacy practice,volume::journal of oncology pharmacy practice::2020
journal::aging clinical and experimental research,volume::aging clinical and experimental research::2018
journal::international conference on applied human factors and ergonomics,volume::international conference on applied human factors and ergonomics::2019
journal::investigative genetics,volume::investigative genetics::2015
journal::jama psychiatry,volume::jama psychiatry::2014
journal::climate dynamics,volume::climate dynamics::2023
journal::journal of personalized medicine,volume::journal of personalized medicine::2022
journal::neurology,volume::neurology::2004
journal::journal of medical internet research,volume::journal of medical internet research::2016
"journal::pediatric nephrology (berlin, west)","volume::pediatric nephrology (berlin, west)::2008"
journal::investigative ophthalmology and visual science,volume::investigative ophthalmology and visual science::2018
journal::arctic and alpine research,volume::arctic and alpine research::1992
journal::frontiers in psychiatry,volume::frontiers in psychiatry::2020
journal::medicina,volume::medicina::2025
journal::human movement science,volume::human movement science::2015
journal::journal of early christian studies,volume::journal of early christian studies::2025
journal::advanced spine journal,volume::advanced spine journal::2023
journal::global academic journal of economics and business,volume::global academic journal of economics and business::2024
journal::journal of bone and joint surgery. american volume,volume::journal of bone and joint surgery. american volume::2010
journal::obesity surgery,volume::obesity surgery::2016
journal::ecotoxicology and environmental safety,volume::ecotoxicology and environmental safety::2020
journal::proceedings of the national academy of sciences of the united states of america,volume::proceedings of the national academy of sciences of the united states of america::2021
journal::la radiologia medica,volume::la radiologia medica::2017
journal::behavioural sleep medicine,volume::behavioural sleep medicine::2023
"journal::iraqi journal of computer, communication, control and system engineering","volume::iraqi journal of computer, communication, control and system engineering::2023"
journal::proceedings of the american thoracic society,volume::proceedings of the american thoracic society::2006
journal::clinical and translational allergy,volume::clinical and translational allergy::2020
journal::the foot,volume::the foot::2018
journal::istanbul journal of economics / i̇stanbul i̇ktisat dergisi,volume::istanbul journal of economics / i̇stanbul i̇ktisat dergisi::2023
"journal::proceedings 2006 ieee international conference on robotics and automation, 2006. icra 2006.","volume::proceedings 2006 ieee international conference on robotics and automation, 2006. icra 2006.::2006"
journal::clinical neurophysiology,volume::clinical neurophysiology::2014
journal::remote sensing,volume::remote sensing::2018
journal::international conference on enterprise information systems,volume::international conference on enterprise information systems::2004
journal::gene,volume::gene::2009
journal::telka - telekomunikasi elektronika komputasi dan kontrol,volume::telka - telekomunikasi elektronika komputasi dan kontrol::2025
journal::diabetes research and clinical practice,volume::diabetes research and clinical practice::2004
journal::indian journal of nephrology,volume::indian journal of nephrology::2013
journal::journal of trauma and acute care surgery,volume::journal of trauma and acute care surgery::2020
journal::journal of bone and mineral metabolism,volume::journal of bone and mineral metabolism::2015
journal::cancer imaging,volume::cancer imaging::2022
journal::langenbeck's archives of surgery (print),volume::langenbeck's archives of surgery (print)::2016
journal::plos one,volume::plos one::2011
journal::journal of nutrilife,volume::journal of nutrilife::2015
journal::cardiovascular intervention and therapeutics,volume::cardiovascular intervention and therapeutics::2019
journal::frontiers in medicine,volume::frontiers in medicine::2025
journal::endocrinology,volume::endocrinology::2012
journal::medical & biological engineering,volume::medical & biological engineering::1972
journal::european journal of nuclear medicine and molecular imaging,volume::european journal of nuclear medicine and molecular imaging::2010
journal::physical therapy,volume::physical therapy::2013
journal::biochemical and biophysical research communications - bbrc,volume::biochemical and biophysical research communications - bbrc::2017
journal::heart failure reviews,volume::heart failure reviews::2011
journal::lighting design + application,volume::lighting design + application::2008
journal::dental journal,volume::dental journal::2020
journal::molecules,volume::molecules::2022
journal::obesity research and clinical practice,volume::obesity research and clinical practice::2015
journal::digestive diseases and sciences,volume::digestive diseases and sciences::2003
journal::mining industry journal (gornay promishlennost),volume::mining industry journal (gornay promishlennost)::2024
journal::journal of economic inequality,volume::journal of economic inequality::2025
journal::journal of financial research,volume::journal of financial research::1998
journal::intensive care medicine,volume::intensive care medicine::2002
journal::journal of oncology,volume::journal of oncology::2022
journal::american journal of cardiology,volume::american journal of cardiology::1983
journal::the annals of pharmacotherapy,volume::the annals of pharmacotherapy::2014
journal::journal of comparative pathology,volume::journal of comparative pathology::1994
journal::scientific reports,volume::scientific reports::2017
journal::international journal of environment and climate change,volume::international journal of environment and climate change::2023
journal::high altitude medicine & biology,volume::high altitude medicine & biology::2025
journal::journal of cardiology,volume::journal of cardiology::2014
journal::entropy,volume::entropy::2020
journal::astrophysical journal,volume::astrophysical journal::2026
"journal::transactions of the educational establishment ""vitebsk the order of ""the badge of honor"" state academy of veterinary medicine","volume::transactions of the educational establishment ""vitebsk the order of ""the badge of honor"" state academy of veterinary medicine::2025"
journal::comparative studies in society and history,volume::comparative studies in society and history::2025
journal::aesthetic plastic surgery,volume::aesthetic plastic surgery::2007
journal::bmc research notes,volume::bmc research notes::2012
journal::eurasian journal of applied biotechnology,volume::eurasian journal of applied biotechnology::2024
journal::remote sensing,volume::remote sensing::2020
journal::eurohaptics,volume::eurohaptics::2016
journal::front. neuroinform.,volume::front. neuroinform.::2016
journal::skin pharmacology,volume::skin pharmacology::1992
journal::emergent materials,volume::emergent materials::2024
journal::journal of clinical endocrinology and metabolism,volume::journal of clinical endocrinology and metabolism::2005
journal::european heart journal,volume::european heart journal::2025
journal::asaio journal (1992),volume::asaio journal (1992)::2016
journal::endocrinology,volume::endocrinology::2019
journal::lipids in health and disease,volume::lipids in health and disease::2006
journal::international journal of pharmaceutics,volume::international journal of pharmaceutics::2019
journal::applied sciences,volume::applied sciences::2024
journal::journal of stroke & cerebrovascular diseases,volume::journal of stroke & cerebrovascular diseases::2006
journal::frontiers in aging neuroscience,volume::frontiers in aging neuroscience::2016
journal::journal of the american society of echocardiography,volume::journal of the american society of echocardiography::2010
journal::pathogens,volume::pathogens::2024
journal::frontiers in public health,volume::frontiers in public health::2023
journal::medical journal of the islamic republic of iran,volume::medical journal of the islamic republic of iran::2024
journal::american journal of clinical nutrition,volume::american journal of clinical nutrition::2007
journal::secur. commun. networks,volume::secur. commun. networks::2018
journal::bmc musculoskeletal disorders,volume::bmc musculoskeletal disorders::2024
journal::the journal of nursery education,volume::the journal of nursery education::2022
journal::cell & bioscience,volume::cell & bioscience::2024
journal::environmental research communications,volume::environmental research communications::2023
journal::medicine,volume::medicine::2026
journal::international dental journal,volume::international dental journal::2003
journal::journal of cancer research and clinical oncology,volume::journal of cancer research and clinical oncology::2014
journal::international journal of information technology and web engineering,volume::international journal of information technology and web engineering::2006
journal::trials,volume::trials::2020
journal::journal of aerosol medicine,volume::journal of aerosol medicine::2012
journal::journal of project management practice,volume::journal of project management practice::2022
journal::wiadomości statystyczne. the polish statistician,volume::wiadomości statystyczne. the polish statistician::2011
journal::frontiers in human neuroscience,volume::frontiers in human neuroscience::2015
journal::journal of alternative and complementary medicine,volume::journal of alternative and complementary medicine::2016
journal::frontiers in physiology,volume::frontiers in physiology::2021
journal::injury,volume::injury::2015
journal::new england journal of medicine,volume::new england journal of medicine::2021
journal::clinical medicine insights: reproductive health,volume::clinical medicine insights: reproductive health::2016
journal::brain injury,volume::brain injury::2009
journal::hematology,volume::hematology::2015
journal::american journal of cardiology,volume::american journal of cardiology::2010
journal::bju international,volume::bju international::2012
journal::journal of trauma and acute care surgery,volume::journal of trauma and acute care surgery::2017
journal::frontiers in physiology,volume::frontiers in physiology::2018
journal::international journal of environmental research and public health,volume::international journal of environmental research and public health::2019
journal::circulation,volume::circulation::1999
journal::journal of nutritional science and vitaminology,volume::journal of nutritional science and vitaminology::2015
journal::journal of the american medical association (jama),volume::journal of the american medical association (jama)::2020
journal::british journal of nutrition,volume::british journal of nutrition::2011
journal::american journal of epidemiology,volume::american journal of epidemiology::2014
journal::agroforestry systems,volume::agroforestry systems::2023
journal::bulletin of entomological research,volume::bulletin of entomological research::2009
journal::archives of gerontology and geriatrics (print),volume::archives of gerontology and geriatrics (print)::2021
journal::medicinal chemistry,volume::medicinal chemistry::2006
journal::proceedings 11th australasian database conference. adc 2000 (cat. no.pr00528),volume::proceedings 11th australasian database conference. adc 2000 (cat. no.pr00528)::2000
"journal::international conference on biometrics: theory, applications and systems","volume::international conference on biometrics: theory, applications and systems::2012"
journal::frontiers in neuroscience,volume::frontiers in neuroscience::2021
journal::global heart,volume::global heart::2024
journal::agriculture,volume::agriculture::2023
journal::journal of sleep research,volume::journal of sleep research::2014
journal::cancer research,volume::cancer research::2006
journal::plos one,volume::plos one::2023
journal::biochemical and biophysical research communications - bbrc,volume::biochemical and biophysical research communications - bbrc::2018
journal::photonics,volume::photonics::2024
journal::international journal of obesity,volume::international journal of obesity::1998
journal::arthroscopy: the journal of arthroscopy and related,volume::arthroscopy: the journal of arthroscopy and related::2020
journal::ieee transactions on computers,volume::ieee transactions on computers::2024
journal::journal of the cardiometabolic syndrome,volume::journal of the cardiometabolic syndrome::2007
journal::modern rheumatology,volume::modern rheumatology::2010
journal::clinical optometry,volume::clinical optometry::2025
journal::bmc public health,volume::bmc public health::2019
journal::annals of translational medicine,volume::annals of translational medicine::2020
journal::the european physical journal special topics,volume::the european physical journal special topics::2024
journal::physical therapy,volume::physical therapy::2009
journal::european journal of operational research,volume::european journal of operational research::2004
journal::ulusal travma ve acil cerrahi dergisi-turkish journal of trauma & emergency surgery,volume::ulusal travma ve acil cerrahi dergisi-turkish journal of trauma & emergency surgery::2026
journal::medicine,volume::medicine::2023
journal::biological psychiatry,volume::biological psychiatry::1999
journal::sexually transmitted diseases,volume::sexually transmitted diseases::1990
journal::circulation journal,volume::circulation journal::2010
journal::american journal of tropical medicine and hygiene,volume::american journal of tropical medicine and hygiene::1999
journal::journal for the study of the old testament,volume::journal for the study of the old testament::2025
journal::journal of clinical epidemiology,volume::journal of clinical epidemiology::1993
journal::journal of geophysical research: space physics,volume::journal of geophysical research: space physics::2024
journal::international journal of academic research in economics and management sciences,volume::international journal of academic research in economics and management sciences::2023
journal::lipids in health and disease,volume::lipids in health and disease::2018
journal::optics express,volume::optics express::2020
journal::gastroenterology research and practice,volume::gastroenterology research and practice::2022
journal::arthroscopy: the journal of arthroscopy and related,volume::arthroscopy: the journal of arthroscopy and related::2017
journal::lex localis - journal of local self-government,volume::lex localis - journal of local self-government::2025
journal::ieee transactions on communications,volume::ieee transactions on communications::1995
journal::cureus,volume::cureus::2025
journal::critical care,volume::critical care::2001
journal::cancer management and research,volume::cancer management and research::2024
journal::the international journal of cardiovascular imaging,volume::the international journal of cardiovascular imaging::2023
journal::jurnal perspektif pembiayaan dan pembangunan daerah,volume::jurnal perspektif pembiayaan dan pembangunan daerah::2024
journal::chemosphere,volume::chemosphere::2012
journal::british journal of ophthalmology,volume::british journal of ophthalmology::2016
journal::isprs int. j. geo inf.,volume::isprs int. j. geo inf.::2024
journal::journal of clinical endocrinology and metabolism,volume::journal of clinical endocrinology and metabolism::2010
journal::clinical rheumatology,volume::clinical rheumatology::2018
journal::star protocols,volume::star protocols::2024
journal::f&s reports,volume::f&s reports::2024
journal::social science & medicine (1967),volume::social science & medicine (1967)::2002
journal::journal of occupational and environmental hygiene,volume::journal of occupational and environmental hygiene::2009
journal::archives of disease in childhood,volume::archives of disease in childhood::1950
journal::neonatology,volume::neonatology::2004
journal::neuroradiology,volume::neuroradiology::2026
journal::siam journal on discrete mathematics,volume::siam journal on discrete mathematics::2009
journal::current reviews in musculoskeletal medicine,volume::current reviews in musculoskeletal medicine::2019
journal::neuropsychiatric disease and treatment,volume::neuropsychiatric disease and treatment::2014
journal::atherosclerosis,volume::atherosclerosis::2015
journal::value in health,volume::value in health::2025
journal::journal of the american academy of child and adolescent psychiatry,volume::journal of the american academy of child and adolescent psychiatry::2006
journal::european journal of medicinal chemistry,volume::european journal of medicinal chemistry::2018
journal::brics law journal,volume::brics law journal::2023
journal::information management and business review,volume::information management and business review::2024
journal::2014 ieee geoscience and remote sensing symposium,volume::2014 ieee geoscience and remote sensing symposium::2014
journal::front. endocrin.,volume::front. endocrin.::2011
journal::symposium on advances in databases and information systems,volume::symposium on advances in databases and information systems::2012
journal::european heart journal-cardiovascular imaging,volume::european heart journal-cardiovascular imaging::2024
journal::communications biology,volume::communications biology::2021
journal::plos one,volume::plos one::2025
journal::modern language review,volume::modern language review::2000
journal::homo : internationale zeitschrift fur die vergleichende forschung am menschen,volume::homo : internationale zeitschrift fur die vergleichende forschung am menschen::2010
journal::current rheumatology reviews,volume::current rheumatology reviews::2024
journal::journal of the american society of nephrology,volume::journal of the american society of nephrology::2020
journal::nutrients,volume::nutrients::2022
journal::ieee international geoscience and remote sensing symposium,volume::ieee international geoscience and remote sensing symposium::2012
journal::drug safety,volume::drug safety::2008
journal::insights-journal of health and rehabilitation,volume::insights-journal of health and rehabilitation::2025
journal::materials,volume::materials::2021
journal::językoznawstwo,volume::językoznawstwo::2023
"journal::highlights in business, economics and management","volume::highlights in business, economics and management::2024"
journal::mathematical methods in the applied sciences,volume::mathematical methods in the applied sciences::2023
journal::journal of laparoendoscopic & advanced surgical techniques. part a,volume::journal of laparoendoscopic & advanced surgical techniques. part a::2013
journal::asian pacific journal of allergy and immunology,volume::asian pacific journal of allergy and immunology::2020
journal::corporate law & governance review,volume::corporate law & governance review::2023
journal::journal of geophysics and engineering,volume::journal of geophysics and engineering::2025
journal::journal of electrocardiology,volume::journal of electrocardiology::2013
journal::fermentation,volume::fermentation::2023
journal::aerospace,volume::aerospace::2024
journal::methods,volume::methods::2026
journal::statistics and economics,volume::statistics and economics::2025
journal::british journal of cancer,volume::british journal of cancer::1991
journal::global spine journal,volume::global spine journal::2024
journal::scandinavian journal of pain,volume::scandinavian journal of pain::2016
journal::age and ageing,volume::age and ageing::2018
journal::frontiers in cardiovascular medicine,volume::frontiers in cardiovascular medicine::2022
journal::sexual medicine,volume::sexual medicine::2021
journal::molecular cancer research,volume::molecular cancer research::2018
journal::veterinary research,volume::veterinary research::2018
journal::microorganisms,volume::microorganisms::2025
journal::reviews on recent clinical trials,volume::reviews on recent clinical trials::2022
journal::forests,volume::forests::2024
journal::cardiology in the young,volume::cardiology in the young::2022
journal::cureus,volume::cureus::2024
journal::computers & electrical engineering,volume::computers & electrical engineering::2018
journal::international journal of endocrinology,volume::international journal of endocrinology::2023
journal::jurnal biologi tropis,volume::jurnal biologi tropis::2024
journal::plos one,volume::plos one::2012
journal::pedagogy. theory &amp; practice,volume::pedagogy. theory &amp; practice::2025
journal::chest,volume::chest::2009
journal::world journal of gastroenterology,volume::world journal of gastroenterology::2012
journal::journal of clinical endocrinology and metabolism,volume::journal of clinical endocrinology and metabolism::2001
journal::chronobiology international,volume::chronobiology international::2016
journal::spinal cord,volume::spinal cord::2018
journal::se pu = chinese journal of chromatography,volume::se pu = chinese journal of chromatography::2005
